team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,mvp_award
Team Nova,IGL,Desert Storm,Group Stage,13,7,14,48.43,160.18,0.21,41.12,0.97,No
Phantom Squad,Support,Dust Arena,Semi-Final,10,7,8,50.21,216.2,0.37,40.41,0.85,No
Team Alpha,Support,Neon City,Group Stage,18,12,13,36.12,229.7,0.54,47.66,1.0,No
Red Vortex,Entry Fragger,Desert Storm,Playoff,15,4,11,38.3,225.41,0.78,34.35,0.75,No
Phantom Squad,Entry Fragger,Neon City,Qualifier,14,10,10,40.49,198.94,0.83,39.95,0.98,No
Phantom Squad,Entry Fragger,Desert Storm,Group Stage,12,7,13,46.67,207.34,0.47,36.64,0.81,No
Titan Esports,Support,Neon City,Qualifier,14,7,10,53.2,255.06,0.29,48.7,1.0,No
CyberX,IGL,Desert Storm,Qualifier,13,6,12,35.86,200.82,0.23,35.63,0.84,No
CyberX,Flex,Desert Storm,Semi-Final,11,8,7,45.92,219.11,0.67,39.26,0.85,No
Phantom Squad,Flex,Frozen Base,Qualifier,15,9,11,51.58,204.6,0.65,47.29,0.92,No
CyberX,Entry Fragger,Neon City,Playoff,7,6,7,46.79,194.61,0.68,29.59,0.89,No
Red Vortex,Entry Fragger,Skyline,Group Stage,15,15,11,47.96,168.43,0.03,57.68,1.0,No
Team Nova,Entry Fragger,Frozen Base,Qualifier,15,10,14,34.9,162.67,0.08,42.65,1.0,No
Titan Esports,Sniper,Neon City,Playoff,16,10,7,28.52,227.62,0.08,48.46,1.0,No
Team Nova,Flex,Desert Storm,Group Stage,10,12,4,37.7,241.04,0.72,39.65,0.86,No
Team Nova,Sniper,Frozen Base,Qualifier,18,10,8,55.18,190.57,0.74,58.19,1.0,No
Phantom Squad,Entry Fragger,Neon City,Qualifier,19,9,5,43.82,207.78,0.75,56.41,1.0,No
Phantom Squad,IGL,Skyline,Semi-Final,18,11,10,38.75,242.96,0.15,54.88,1.0,No
CyberX,Sniper,Dust Arena,Semi-Final,10,9,6,36.74,224.13,0.11,40.27,0.92,No
CyberX,Support,Skyline,Semi-Final,18,11,11,43.27,213.32,0.23,55.34,0.89,No
Titan Esports,Entry Fragger,Skyline,Group Stage,18,7,9,43.36,213.16,0.05,55.18,1.0,No
Titan Esports,Sniper,Desert Storm,Final,13,10,9,48.67,184.82,0.38,47.54,1.0,No
Team Nova,Sniper,Desert Storm,Final,15,10,9,48.91,203.61,0.96,45.85,1.0,No
Team Nova,Sniper,Desert Storm,Group Stage,19,6,13,44.14,213.56,0.6,47.07,0.77,No
CyberX,IGL,Dust Arena,Semi-Final,12,2,18,35.58,221.27,0.55,20.29,0.74,No
Red Vortex,IGL,Skyline,Group Stage,22,4,6,36.71,169.18,0.66,53.76,0.97,No
Titan Esports,IGL,Dust Arena,Semi-Final,22,7,16,45.27,194.36,0.23,55.34,1.0,No
CyberX,IGL,Skyline,Qualifier,15,10,8,43.14,273.1,0.71,46.47,1.0,No
CyberX,Support,Frozen Base,Final,20,10,5,34.78,187.5,0.95,52.89,1.0,No
Red Vortex,Entry Fragger,Dust Arena,Playoff,15,6,14,54.13,228.18,0.57,43.36,1.0,No
CyberX,Entry Fragger,Neon City,Qualifier,21,8,14,50.36,216.64,0.43,56.88,0.98,No
Red Vortex,Support,Desert Storm,Qualifier,15,9,8,28.97,195.48,0.31,42.38,1.0,No
Team Alpha,IGL,Frozen Base,Qualifier,15,12,7,41.63,175.07,0.73,48.52,0.85,No
Team Nova,IGL,Skyline,Qualifier,15,6,12,50.05,192.78,0.92,39.82,0.9,No
Team Alpha,Sniper,Skyline,Qualifier,13,3,15,49.73,215.31,0.69,31.96,0.79,No
CyberX,IGL,Neon City,Group Stage,13,12,17,52.45,217.19,0.04,46.83,0.97,No
Phantom Squad,Entry Fragger,Frozen Base,Playoff,11,5,12,61.41,194.43,0.83,37.41,1.0,No
CyberX,Support,Skyline,Semi-Final,14,9,8,37.18,203.0,0.8,39.59,0.98,No
Team Alpha,Entry Fragger,Skyline,Semi-Final,12,17,6,36.99,242.22,0.0,53.5,1.0,No
Titan Esports,Sniper,Skyline,Playoff,17,6,3,44.46,177.15,0.3,56.23,1.0,No
CyberX,Sniper,Neon City,Qualifier,11,8,9,28.54,228.06,0.54,29.87,0.76,No
Red Vortex,Support,Skyline,Final,8,3,12,45.98,189.53,0.61,23.89,0.79,No
Red Vortex,Entry Fragger,Neon City,Final,14,4,17,38.81,213.29,0.11,33.3,0.84,No
Team Alpha,Flex,Skyline,Playoff,16,3,8,45.35,223.55,0.59,43.77,0.82,No
CyberX,Support,Desert Storm,Group Stage,15,6,9,41.44,236.26,0.73,40.42,0.86,No
Red Vortex,Flex,Frozen Base,Final,12,3,10,56.99,207.35,0.07,44.8,1.0,No
Team Nova,IGL,Desert Storm,Semi-Final,16,5,10,45.15,259.38,0.92,40.38,1.0,No
Team Alpha,Flex,Neon City,Final,17,7,9,48.18,268.5,0.11,54.99,0.98,No
Phantom Squad,Entry Fragger,Neon City,Semi-Final,12,9,5,53.44,248.32,0.67,48.02,0.88,No
CyberX,Sniper,Desert Storm,Final,16,6,8,41.07,237.62,0.33,47.23,0.9,No
CyberX,IGL,Skyline,Group Stage,17,8,11,48.35,161.86,0.69,48.27,1.0,No
Red Vortex,IGL,Dust Arena,Semi-Final,18,9,10,43.03,187.36,0.97,46.81,0.9,No
CyberX,Sniper,Neon City,Group Stage,18,11,10,45.01,288.4,0.1,58.5,1.0,No
Team Nova,Entry Fragger,Neon City,Semi-Final,21,7,7,33.7,253.92,0.42,54.65,1.0,No
Red Vortex,Sniper,Desert Storm,Group Stage,13,8,9,42.86,233.45,0.87,37.73,0.77,No
Red Vortex,Entry Fragger,Frozen Base,Semi-Final,14,9,11,38.05,247.17,0.97,35.33,0.87,No
Titan Esports,Entry Fragger,Neon City,Final,17,7,11,43.51,205.62,0.23,49.45,1.0,No
Phantom Squad,IGL,Desert Storm,Group Stage,15,5,8,34.69,216.71,0.84,35.95,0.87,No
Team Alpha,Entry Fragger,Skyline,Final,10,4,13,39.07,245.68,0.33,27.23,0.79,No
CyberX,IGL,Skyline,Semi-Final,14,13,13,30.17,255.95,0.02,42.88,0.9,No
CyberX,Entry Fragger,Neon City,Playoff,11,9,8,39.52,273.79,0.86,34.16,0.76,No
Red Vortex,Entry Fragger,Neon City,Playoff,15,9,9,46.81,240.18,0.16,51.8,0.9,No
CyberX,Entry Fragger,Skyline,Semi-Final,7,11,16,40.17,172.93,0.24,26.69,0.88,No
Team Nova,Flex,Frozen Base,Semi-Final,19,7,9,46.42,204.68,0.47,54.51,1.0,No
Team Alpha,IGL,Desert Storm,Group Stage,20,10,13,49.71,198.81,0.09,60.96,1.0,Yes
Team Alpha,IGL,Desert Storm,Qualifier,13,8,16,45.2,264.82,0.31,37.5,0.9,No
Phantom Squad,Flex,Desert Storm,Semi-Final,17,4,16,41.52,175.66,0.92,33.56,0.82,No
Red Vortex,Support,Neon City,Final,14,5,10,53.26,209.35,0.68,42.83,0.83,No
Team Alpha,IGL,Frozen Base,Qualifier,12,8,8,36.96,286.89,0.41,38.38,0.83,No
Red Vortex,Support,Dust Arena,Final,11,13,12,44.97,279.82,0.45,40.98,0.93,No
Team Alpha,Support,Dust Arena,Semi-Final,12,8,11,53.46,217.58,0.44,43.33,0.99,No
Team Alpha,Support,Neon City,Group Stage,20,5,15,42.54,231.65,0.85,42.77,0.91,No
Team Nova,Sniper,Dust Arena,Final,20,8,6,37.21,197.76,0.13,59.31,1.0,No
Red Vortex,Support,Neon City,Qualifier,18,8,6,46.62,228.46,0.79,53.41,0.89,No
Team Alpha,Support,Frozen Base,Group Stage,13,10,7,42.14,230.47,0.87,41.37,0.88,No
Phantom Squad,Support,Neon City,Group Stage,17,6,8,43.34,199.29,0.57,47.97,0.92,No
Phantom Squad,Flex,Frozen Base,Group Stage,13,4,10,56.66,235.62,0.19,46.43,1.0,No
Team Alpha,Flex,Dust Arena,Playoff,18,9,8,47.26,205.55,0.74,53.23,1.0,No
Phantom Squad,Sniper,Desert Storm,Group Stage,17,12,13,32.92,199.37,0.29,46.56,0.99,No
Phantom Squad,Support,Frozen Base,Qualifier,11,6,11,42.85,195.99,0.03,38.12,0.88,No
Team Alpha,IGL,Desert Storm,Semi-Final,15,11,6,48.19,197.83,0.46,54.49,0.93,No
CyberX,Support,Frozen Base,Playoff,10,7,8,45.82,240.64,0.72,34.71,0.81,No
CyberX,Flex,Neon City,Playoff,17,8,10,47.8,224.0,0.49,51.0,1.0,No
CyberX,Flex,Desert Storm,Playoff,9,7,16,41.33,244.07,0.12,28.46,0.95,No
CyberX,Entry Fragger,Dust Arena,Group Stage,25,9,14,52.55,225.85,0.47,66.58,1.0,Yes
Phantom Squad,Sniper,Frozen Base,Semi-Final,14,4,2,49.97,229.76,0.36,51.38,1.0,No
CyberX,Support,Skyline,Playoff,21,9,7,53.84,145.7,0.9,61.92,1.0,Yes
Titan Esports,Flex,Neon City,Semi-Final,17,10,10,39.02,224.94,0.2,51.51,1.0,No
CyberX,Entry Fragger,Neon City,Playoff,16,2,14,39.93,209.2,0.1,38.97,0.91,No
Titan Esports,IGL,Skyline,Playoff,11,7,11,39.06,263.33,0.5,32.53,0.66,No
CyberX,Entry Fragger,Neon City,Final,21,6,13,35.55,201.32,0.59,46.88,1.0,No
Team Alpha,IGL,Frozen Base,Group Stage,9,9,6,34.9,202.25,0.19,36.55,0.84,No
Team Nova,Sniper,Neon City,Semi-Final,21,17,13,34.54,225.58,0.35,59.77,1.0,No
Phantom Squad,Entry Fragger,Neon City,Qualifier,10,8,17,58.91,233.21,0.69,33.55,0.83,No
Red Vortex,IGL,Neon City,Playoff,18,12,7,37.33,184.54,0.35,56.16,1.0,No
Team Alpha,Flex,Skyline,Group Stage,13,7,9,43.62,275.57,0.31,42.71,0.9,No
Red Vortex,IGL,Frozen Base,Semi-Final,13,10,6,43.06,250.0,0.17,49.83,1.0,No
CyberX,Sniper,Dust Arena,Playoff,20,9,7,51.07,208.8,0.35,64.03,0.95,Yes
Phantom Squad,Flex,Skyline,Final,12,5,12,59.22,249.87,0.77,38.91,0.88,No
Phantom Squad,Flex,Frozen Base,Group Stage,17,5,14,41.2,200.43,0.49,40.7,0.99,No
Team Nova,Entry Fragger,Frozen Base,Final,15,2,5,22.86,191.66,0.89,29.53,0.86,No
Team Alpha,Sniper,Dust Arena,Final,23,8,13,44.48,254.89,0.83,54.94,1.0,No
Titan Esports,IGL,Neon City,Final,10,10,9,44.23,185.95,0.2,41.11,0.86,No
Red Vortex,Sniper,Desert Storm,Final,11,12,12,39.72,227.14,0.18,40.06,1.0,No
Titan Esports,IGL,Neon City,Semi-Final,10,8,4,42.31,221.59,0.58,39.36,0.87,No
CyberX,Sniper,Skyline,Playoff,14,4,7,45.69,235.16,0.99,37.95,0.81,No
CyberX,Flex,Neon City,Group Stage,13,6,9,27.6,168.41,0.35,33.3,0.8,No
Phantom Squad,Sniper,Neon City,Semi-Final,9,20,12,31.65,241.37,0.15,40.33,0.94,No
Red Vortex,Sniper,Dust Arena,Group Stage,19,4,11,47.74,243.69,0.03,54.57,1.0,No
Team Alpha,Sniper,Skyline,Playoff,18,5,13,56.08,227.56,0.61,49.94,1.0,No
CyberX,IGL,Skyline,Semi-Final,16,10,10,34.34,213.2,0.72,41.97,0.98,No
Titan Esports,Flex,Neon City,Playoff,14,9,17,44.17,181.68,0.97,32.39,0.68,No
Titan Esports,Sniper,Neon City,Final,11,10,14,33.63,245.77,0.97,25.11,0.76,No
Titan Esports,IGL,Frozen Base,Semi-Final,12,3,4,39.89,187.59,0.87,34.25,0.76,No
CyberX,Support,Neon City,Group Stage,8,9,10,50.69,237.74,0.63,34.05,0.82,No
Red Vortex,Sniper,Dust Arena,Semi-Final,22,7,14,27.56,218.29,0.4,46.78,1.0,No
Team Nova,Flex,Desert Storm,Semi-Final,14,8,8,41.32,202.55,0.42,44.46,0.86,No
Team Alpha,Sniper,Desert Storm,Semi-Final,13,9,10,44.58,198.45,0.83,38.99,0.77,No
Team Alpha,Sniper,Skyline,Final,18,9,10,43.71,148.52,0.78,49.06,0.88,No
CyberX,Sniper,Dust Arena,Final,11,12,5,49.43,232.61,0.78,45.92,0.98,No
Team Nova,Support,Neon City,Qualifier,17,13,10,63.37,246.77,0.12,67.48,1.0,Yes
Team Nova,Sniper,Desert Storm,Group Stage,20,9,13,39.87,253.32,0.88,47.14,1.0,No
CyberX,Flex,Neon City,Final,15,13,10,48.31,280.67,0.39,53.26,1.0,No
Red Vortex,Entry Fragger,Dust Arena,Final,15,4,13,45.57,252.36,0.02,43.58,0.88,No
Phantom Squad,Support,Skyline,Qualifier,19,10,9,47.63,220.72,0.57,57.11,1.0,No
Phantom Squad,Support,Neon City,Final,21,5,10,36.15,223.05,0.93,45.78,1.0,No
Team Alpha,Entry Fragger,Desert Storm,Final,9,12,14,32.37,226.52,0.81,24.09,0.83,No
Red Vortex,Support,Frozen Base,Qualifier,14,7,10,45.76,266.67,0.61,41.78,1.0,No
Team Nova,Support,Frozen Base,Group Stage,22,10,17,46.44,176.32,0.77,52.52,1.0,No
Phantom Squad,Flex,Frozen Base,Semi-Final,18,8,7,30.93,234.52,0.83,44.17,0.93,No
Team Alpha,Sniper,Desert Storm,Final,15,6,8,31.53,220.69,0.69,36.87,0.76,No
Titan Esports,Entry Fragger,Skyline,Playoff,16,10,9,55.74,230.73,0.79,52.97,0.86,No
Red Vortex,Entry Fragger,Neon City,Semi-Final,19,10,12,57.4,223.09,0.41,60.6,1.0,Yes
Titan Esports,Entry Fragger,Skyline,Playoff,10,6,16,47.83,179.9,0.47,29.21,0.89,No
Team Alpha,Flex,Desert Storm,Playoff,14,7,10,43.46,219.45,0.14,45.33,0.94,No
Phantom Squad,Flex,Neon City,Final,10,6,7,50.17,264.23,0.39,40.19,0.93,No
Team Nova,Sniper,Dust Arena,Semi-Final,13,11,10,42.01,203.39,0.94,38.6,0.87,No
Titan Esports,IGL,Skyline,Final,13,6,9,50.0,167.64,0.15,46.5,0.9,No
Team Alpha,Entry Fragger,Neon City,Final,16,11,9,53.89,219.99,0.21,58.84,1.0,No
Team Nova,Entry Fragger,Skyline,Group Stage,10,11,11,56.43,203.18,0.65,41.72,0.81,No
Phantom Squad,Entry Fragger,Desert Storm,Semi-Final,15,5,10,51.58,219.33,0.87,42.09,0.96,No
CyberX,Support,Desert Storm,Playoff,20,7,14,43.6,284.74,0.37,51.1,1.0,No
CyberX,Support,Skyline,Group Stage,16,6,11,46.22,187.37,0.45,45.61,0.98,No
Titan Esports,Support,Desert Storm,Playoff,13,9,5,47.39,201.29,0.03,53.4,0.93,No
CyberX,Support,Neon City,Qualifier,11,4,4,47.63,209.2,0.38,42.02,1.0,No
Team Alpha,Sniper,Neon City,Group Stage,10,6,10,43.06,297.41,0.3,34.53,1.0,No
Titan Esports,Sniper,Desert Storm,Group Stage,7,10,7,50.33,241.44,0.06,41.56,0.95,No
Team Alpha,IGL,Dust Arena,Semi-Final,16,6,14,41.99,227.84,0.03,44.7,0.85,No
Phantom Squad,Support,Skyline,Playoff,19,15,11,37.6,199.72,0.53,55.5,0.86,No
Red Vortex,Flex,Neon City,Playoff,14,4,13,47.35,206.18,0.31,39.57,0.9,No
Titan Esports,Support,Frozen Base,Qualifier,13,6,12,45.3,175.2,0.55,37.15,0.88,No
CyberX,IGL,Neon City,Playoff,30,9,9,24.81,210.97,0.8,64.41,1.0,Yes
CyberX,Sniper,Neon City,Semi-Final,9,7,9,48.0,250.88,0.89,31.1,0.76,No
Team Alpha,IGL,Frozen Base,Group Stage,11,7,6,40.11,243.63,0.8,35.05,0.71,No
Team Nova,IGL,Dust Arena,Final,18,12,7,45.63,259.17,0.38,60.02,1.0,Yes
Titan Esports,IGL,Skyline,Qualifier,15,20,11,44.9,228.52,0.23,59.15,1.0,No
Red Vortex,IGL,Desert Storm,Final,8,6,13,35.52,241.14,0.05,26.26,0.84,No
Team Nova,IGL,Desert Storm,Semi-Final,21,9,14,43.19,168.1,0.08,57.8,1.0,No
CyberX,Entry Fragger,Frozen Base,Semi-Final,12,6,10,57.47,213.87,0.77,41.03,0.98,No
Team Nova,Entry Fragger,Neon City,Playoff,14,5,14,48.71,184.97,0.68,36.56,0.81,No
Titan Esports,Support,Desert Storm,Group Stage,13,12,9,44.87,278.79,0.62,45.23,0.98,No
Team Nova,IGL,Dust Arena,Playoff,12,9,9,34.02,186.6,0.69,34.11,0.91,No
Titan Esports,Sniper,Skyline,Group Stage,22,9,13,37.4,217.72,0.51,53.6,1.0,No
Phantom Squad,Support,Skyline,Qualifier,16,9,10,34.94,225.48,0.82,40.27,0.76,No
Red Vortex,Sniper,Frozen Base,Group Stage,19,8,5,37.74,238.13,0.18,58.07,1.0,No
Team Nova,Support,Neon City,Final,16,10,9,41.98,257.97,0.03,53.69,1.0,No
CyberX,IGL,Frozen Base,Qualifier,18,8,9,46.02,223.58,0.13,56.71,1.0,No
Team Nova,Support,Dust Arena,Final,15,6,11,32.71,272.74,0.3,38.36,0.97,No
Red Vortex,IGL,Desert Storm,Group Stage,17,4,4,54.41,221.8,0.22,59.0,1.0,No
Titan Esports,Entry Fragger,Dust Arena,Qualifier,19,8,7,35.67,292.1,0.66,50.23,1.0,No
Red Vortex,Flex,Skyline,Semi-Final,23,5,5,51.15,253.79,0.71,64.48,1.0,Yes
CyberX,Support,Dust Arena,Qualifier,17,9,7,54.04,254.82,0.55,57.52,1.0,No
Titan Esports,Flex,Desert Storm,Playoff,12,15,9,48.53,209.03,0.57,48.56,0.98,No
Titan Esports,IGL,Desert Storm,Qualifier,9,10,13,37.64,245.5,0.4,29.82,0.65,No
Team Alpha,Sniper,Skyline,Final,9,6,11,37.64,235.62,0.91,22.72,0.68,No
CyberX,IGL,Neon City,Qualifier,19,5,5,47.63,279.05,0.08,61.02,1.0,Yes
Team Alpha,Support,Frozen Base,Semi-Final,16,4,9,30.4,223.13,0.55,36.7,0.81,No
Team Nova,Flex,Neon City,Semi-Final,13,5,10,34.38,204.96,0.76,30.59,0.82,No
Titan Esports,Flex,Dust Arena,Group Stage,13,10,5,26.13,258.52,0.31,40.96,0.89,No
Phantom Squad,Flex,Skyline,Playoff,14,4,5,39.27,222.55,0.14,45.24,1.0,No
Phantom Squad,IGL,Desert Storm,Playoff,16,9,12,36.0,268.54,0.44,42.6,0.81,No
Red Vortex,Entry Fragger,Dust Arena,Qualifier,12,8,14,44.86,188.24,0.28,37.63,0.72,No
Red Vortex,Flex,Frozen Base,Group Stage,14,5,11,62.47,264.36,0.71,46.13,0.86,No
Titan Esports,Support,Desert Storm,Final,22,6,8,43.11,215.97,0.73,56.26,1.0,No
Red Vortex,IGL,Dust Arena,Final,10,11,13,30.36,181.6,0.66,26.58,0.74,No
Titan Esports,Flex,Neon City,Group Stage,12,6,7,34.72,184.98,0.04,39.96,0.95,No
Titan Esports,Entry Fragger,Dust Arena,Final,14,2,7,61.86,160.33,0.18,52.13,1.0,No
CyberX,Entry Fragger,Neon City,Semi-Final,18,8,9,43.32,204.56,0.23,54.36,0.96,No
Red Vortex,IGL,Neon City,Group Stage,11,8,9,39.2,257.52,0.78,32.8,0.86,No
Red Vortex,Flex,Neon City,Semi-Final,12,5,15,41.66,217.5,0.37,31.13,0.76,No
Red Vortex,IGL,Frozen Base,Group Stage,20,7,5,39.34,193.81,0.81,53.57,0.99,No
Team Alpha,Flex,Skyline,Qualifier,18,8,10,49.89,230.45,0.01,58.84,1.0,No
Phantom Squad,IGL,Skyline,Qualifier,17,11,12,51.03,174.14,0.96,48.91,1.0,No
Titan Esports,IGL,Desert Storm,Semi-Final,21,0,10,39.28,218.66,0.52,46.44,0.92,No
Red Vortex,Flex,Neon City,Playoff,13,14,10,44.0,212.92,0.75,44.5,1.0,No
Team Nova,Support,Frozen Base,Group Stage,15,7,6,51.15,243.67,0.53,51.28,1.0,No
Team Alpha,Flex,Desert Storm,Qualifier,19,5,6,50.21,224.1,0.07,61.41,1.0,Yes
Red Vortex,Sniper,Desert Storm,Final,11,7,4,38.45,195.87,0.99,34.33,0.91,No
Phantom Squad,Support,Skyline,Final,16,13,10,48.95,199.5,0.47,54.78,1.0,No
Team Alpha,Entry Fragger,Neon City,Qualifier,19,10,7,71.27,243.5,0.89,67.73,1.0,Yes
Red Vortex,Entry Fragger,Frozen Base,Qualifier,14,8,9,43.2,191.16,0.79,40.7,0.9,No
CyberX,Sniper,Desert Storm,Group Stage,17,9,7,57.86,265.16,0.39,61.03,1.0,Yes
CyberX,Support,Desert Storm,Qualifier,14,9,9,42.75,232.66,0.31,46.27,0.88,No
Titan Esports,Sniper,Neon City,Group Stage,21,8,11,50.61,241.69,0.23,62.01,1.0,Yes
Team Alpha,Flex,Frozen Base,Playoff,9,11,17,36.03,209.95,0.04,29.62,0.83,No
Titan Esports,Sniper,Neon City,Final,18,9,10,57.76,189.53,0.69,56.98,1.0,No
Team Nova,Sniper,Desert Storm,Playoff,14,5,12,42.1,182.9,0.78,34.25,0.88,No
Titan Esports,Flex,Desert Storm,Semi-Final,24,10,11,49.71,236.72,0.46,67.26,1.0,Yes
CyberX,Entry Fragger,Desert Storm,Semi-Final,5,9,9,36.36,172.8,0.63,21.88,0.61,No
Red Vortex,Entry Fragger,Dust Arena,Playoff,16,6,7,58.12,204.9,0.24,57.66,1.0,No
Team Alpha,Flex,Skyline,Qualifier,12,7,19,46.85,237.84,0.38,31.62,0.61,No
Team Alpha,Sniper,Dust Arena,Qualifier,18,5,4,52.86,207.08,0.36,59.83,1.0,No
Team Alpha,Entry Fragger,Skyline,Semi-Final,13,7,9,41.55,206.24,0.48,39.98,0.86,No
CyberX,Entry Fragger,Skyline,Playoff,8,7,7,35.92,232.16,0.41,29.86,0.51,No
CyberX,Sniper,Desert Storm,Group Stage,28,12,11,35.17,222.8,0.73,67.29,1.0,Yes
Titan Esports,Entry Fragger,Skyline,Final,13,9,7,55.18,251.45,0.7,48.59,0.89,No
Team Nova,Entry Fragger,Dust Arena,Group Stage,14,9,7,57.79,235.74,0.22,56.69,0.98,No
Team Alpha,Support,Desert Storm,Group Stage,8,8,5,55.4,150.85,0.37,43.0,0.73,No
Team Nova,Support,Neon City,Playoff,13,5,6,35.85,209.72,0.71,35.82,0.93,No
Team Nova,Sniper,Dust Arena,Final,16,7,11,46.07,251.85,0.48,46.23,0.98,No
Titan Esports,Flex,Frozen Base,Final,9,12,9,48.01,179.77,0.61,38.9,1.0,No
Team Nova,Entry Fragger,Frozen Base,Final,19,8,6,43.78,232.52,0.64,55.49,1.0,No
Phantom Squad,Entry Fragger,Dust Arena,Group Stage,16,13,14,46.15,277.63,0.54,48.68,0.99,No
Phantom Squad,Entry Fragger,Dust Arena,Qualifier,17,5,9,38.58,278.28,0.65,42.79,1.0,No
Titan Esports,Support,Desert Storm,Playoff,18,11,8,55.52,209.89,0.95,57.26,1.0,No
CyberX,Flex,Frozen Base,Final,16,10,5,55.41,221.76,0.08,63.91,1.0,Yes
Team Alpha,Entry Fragger,Frozen Base,Semi-Final,11,9,11,34.88,276.57,0.62,31.24,0.8,No
Team Nova,Flex,Frozen Base,Semi-Final,14,7,10,44.61,251.65,0.18,45.51,0.89,No
Red Vortex,Flex,Neon City,Final,17,5,12,41.54,293.23,0.74,40.37,0.9,No
Phantom Squad,Sniper,Neon City,Final,22,9,10,28.47,248.64,0.92,48.03,1.0,No
Titan Esports,Support,Frozen Base,Group Stage,15,11,13,44.04,178.38,0.68,43.22,0.83,No
Team Alpha,Flex,Desert Storm,Final,21,7,7,60.33,253.59,0.89,63.26,1.0,Yes
CyberX,Sniper,Neon City,Final,17,8,10,30.77,254.4,0.61,41.28,0.86,No
CyberX,Entry Fragger,Frozen Base,Qualifier,13,6,19,45.78,226.19,0.69,28.99,0.74,No
Phantom Squad,Support,Neon City,Group Stage,21,3,10,46.08,176.58,0.2,56.04,1.0,No
CyberX,Support,Skyline,Final,8,4,11,36.6,200.14,0.59,21.4,0.75,No
Team Alpha,Sniper,Dust Arena,Playoff,17,12,12,40.65,244.78,0.45,49.83,0.89,No
Team Alpha,Entry Fragger,Dust Arena,Qualifier,14,7,14,37.75,197.02,0.43,35.58,0.88,No
CyberX,IGL,Neon City,Qualifier,12,12,12,49.59,214.55,0.86,40.2,0.82,No
Red Vortex,Flex,Desert Storm,Final,14,7,16,41.09,219.55,0.45,35.05,0.79,No
Phantom Squad,Sniper,Desert Storm,Group Stage,19,7,13,37.79,205.12,0.04,50.49,0.99,No
Phantom Squad,Flex,Desert Storm,Playoff,12,7,4,35.03,226.52,0.98,34.72,0.85,No
CyberX,IGL,Skyline,Group Stage,15,13,13,35.0,241.88,0.9,38.5,0.91,No
Red Vortex,Support,Desert Storm,Semi-Final,19,5,4,39.2,193.45,0.38,54.8,1.0,No
Team Nova,IGL,Dust Arena,Qualifier,13,16,8,53.2,247.27,0.29,57.7,1.0,No
Red Vortex,Entry Fragger,Skyline,Group Stage,13,10,10,30.06,241.03,0.08,40.23,0.81,No
Red Vortex,IGL,Neon City,Semi-Final,16,6,10,51.0,218.41,0.72,46.3,1.0,No
CyberX,IGL,Neon City,Semi-Final,16,10,10,47.48,263.2,0.79,47.84,1.0,No
Phantom Squad,IGL,Skyline,Group Stage,12,10,11,45.97,213.92,0.73,38.69,0.91,No
Phantom Squad,Entry Fragger,Dust Arena,Semi-Final,19,8,7,48.31,233.6,0.48,58.36,1.0,No
Titan Esports,IGL,Frozen Base,Qualifier,16,15,11,54.59,246.23,0.23,61.0,1.0,Yes
Titan Esports,Support,Desert Storm,Semi-Final,15,18,7,42.06,203.14,0.31,58.93,1.0,No
Phantom Squad,Entry Fragger,Skyline,Qualifier,14,4,7,37.78,259.84,0.46,39.29,0.86,No
Team Nova,Support,Dust Arena,Playoff,9,7,10,36.3,241.61,0.75,25.65,0.81,No
Red Vortex,Flex,Frozen Base,Qualifier,10,7,6,45.98,262.84,0.09,43.09,1.0,No
Phantom Squad,IGL,Frozen Base,Group Stage,18,7,10,55.78,230.86,0.43,56.59,0.94,No
Phantom Squad,Entry Fragger,Desert Storm,Qualifier,13,10,8,39.02,166.45,0.49,42.61,0.93,No
Red Vortex,Entry Fragger,Neon City,Qualifier,13,7,13,54.26,290.86,0.23,44.83,0.95,No
Red Vortex,Entry Fragger,Frozen Base,Group Stage,18,12,4,50.03,171.13,0.6,63.02,1.0,Yes
Phantom Squad,Flex,Skyline,Group Stage,15,5,11,57.29,262.28,0.55,47.14,0.97,No
CyberX,Entry Fragger,Frozen Base,Qualifier,12,7,8,52.95,239.73,0.26,46.88,1.0,No
Red Vortex,Flex,Desert Storm,Final,14,8,7,39.49,247.95,0.23,46.45,1.0,No
Titan Esports,Sniper,Frozen Base,Qualifier,22,8,12,41.03,253.34,0.48,55.72,1.0,No
Titan Esports,Support,Desert Storm,Qualifier,11,14,13,51.57,242.62,0.67,42.08,0.99,No
Red Vortex,Entry Fragger,Dust Arena,Semi-Final,12,5,10,62.76,238.19,0.92,41.18,0.86,No
Team Alpha,Flex,Desert Storm,Group Stage,4,10,6,37.96,196.99,0.98,21.18,0.53,No
Team Nova,Entry Fragger,Dust Arena,Qualifier,10,6,6,39.91,225.21,0.46,35.35,0.72,No
Red Vortex,Flex,Neon City,Semi-Final,13,5,6,59.92,229.72,0.15,53.46,1.0,No
Team Nova,Support,Dust Arena,Qualifier,20,7,8,64.53,205.96,0.48,66.47,1.0,Yes
Titan Esports,IGL,Neon City,Qualifier,8,7,10,43.38,242.37,0.48,29.89,0.81,No
Phantom Squad,Flex,Neon City,Final,16,14,9,47.6,263.79,0.99,50.9,1.0,No
